"global_id";"ObjectName";"NameWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";
"2721741074";"Усадьба «Люблино»";"Площадка детская игровая в парке №1";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.738110051, 55.686681072], type=Point}";"";
"2721741084";"Усадьба «Люблино»";"Площадка детская игровая в парке №2";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.01-31.12";"nested data";"смешанное освещение";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.743812006, 55.686726728], type=Point}";"";
"2721741722";"Парк «Бирюлевский дендропарк»";"Площадка детская игровая в парке №1, «площадка детская игровая», Варшавское шоссе 145 корпус8";"Южный административный округ";"район Чертаново Южное";"Липецкая улица, дом 26";"tsaritsynomuseum@culture.mos.ru";"tsaritsyno-museum.ru";"(495) 322-44-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.604134179, 55.580604912], type=Point}";"";
"2721742059";"Парк «Бирюлевский дендропарк»";"Площадка детская игровая в парке №2, «Детская площадка приспособленная для инвалидов », Загорьевский проезд 15";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 26";"tsaritsynomuseum@culture.mos.ru";"tsaritsyno-museum.ru";"(495) 322-44-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.679869033, 55.576867075], type=Point}";"";
"2721742077";"Парк «Бирюлевский дендропарк»";"Площадка детская игровая в парке №3, «Детская игровая площадка 28 квартал», Педагогическая улица";"Южный административный округ";"район Бирюлёво Восточное";"Липецкая улица, дом 26";"tsaritsynomuseum@culture.mos.ru";"tsaritsyno-museum.ru";"(495) 322-44-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.674996804, 55.597253182], type=Point}";"";
"2721742348";"Парк «Красногвардейские пруды»";"Площадка детская игровая в парке №2";"Центральный административный округ";"Пресненский район";"Красногвардейский бульвар, дом 9";"2553970@bk.ru";"p-kp.ru";"(499) 256-33-42";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"да";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение светодиодными лампами";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.546156371, 55.764408771], type=Point}";"";
"2721743446";"Парк «Горка»";"Площадка детская игровая в парке №2";"Центральный административный округ";"Басманный район";"Петроверигский переулок, дом 4, строение 3";"sadermitazh@culture.mos.ru";"mosgorsad.ru";"(495) 699-08-49";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"освещение лампами накаливания";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.637336349, 55.755352372], type=Point}";"";
"2721743480";"Парк «Покровский берег»";"Площадка детская игровая в парке №1";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Береговая улица, дом 8";"info@mosparks.ru";"mosparks.ru/";"(495) 640-73-55";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"да";"01.01-31.12";"nested data";"освещение лампами накаливания";"заливное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.470767464, 55.833625556], type=Point}";"";
"2721743493";"Усадьба «Люблино»";"Площадка детская игровая в парке №5";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.746056865, 55.686691089], type=Point}";"";
"2721743517";"Усадьба «Люблино»";"Площадка детская игровая в парке №6";"Юго-Восточный административный округ";"район Люблино";"Летняя улица, дом 1, строение 1";"parkkuzminki@culture.mos.ru";"park-kuzminki.ru";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"да";"да";"да";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.751986333, 55.687812892], type=Point}";"";
"2721744077";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Детская игровая площадка № 2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.797289239, 55.693856815], type=Point}";"";
"2721744087";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Площадка детская игровая в парке №5";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.796557282, 55.688838902], type=Point}";"";
"2721745741";"Парк спорта «Яуза»";"Площадка детская игровая в парке №1";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 161";"4762259@mail.ru";"park-yauza.info";"(499) 476-22-59";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.651448914, 55.837024454], type=Point}";"";
"2721747647";"Аршиновский парк";"Площадка детская игровая в парке №2";"Южный административный округ";"район Царицыно";"Бакинская улица, дом 20";"sotsr@uao.mos.ru";"tsaricino.mos.ru";"(495) 321-48-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.654555315, 55.620226949], type=Point}";"";
"2721747800";"Природный комплекс № 180 «Видновский лесопарк» (кв-л 2) планируемый к образованию Ландшафтный заказник «Зябликово»";"Площадка детская игровая в парке";"Южный административный округ";"район Орехово-Борисово Южное";"Гурьевский проезд, дом 9, корпус 1";"oopt.uao@gmail.com";"mospriroda.ru/about/";"(495) 782-78-23";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.761191328, 55.607937147], type=Point}";"";
"2721748037";"Парк «Чертановское подворье»";"Площадка детская игровая в парке";"Южный административный округ";"район Чертаново Северное";"Чертановская улица, дом 14";"gkh-sever@yandex.ru";"chertanovo-severnoe.mos.ru";"(495) 318-14-40";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"приспособлен для всех групп инвалидов";"общая физическая подготовка";"{coordinates=[37.596704586, 55.630330101], type=Point}";"";
"2721748129";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Детская игровая площадка №1";"Юго-Восточный административный округ";"район Кузьминки";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.7884755, 55.695519766], type=Point}";"";
"2721748151";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Детская игровая площадка № 4";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.809686409, 55.676081515], type=Point}";"";
"2721748181";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Площадка детская игровая в парке № 9";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.822356481, 55.686677133], type=Point}";"";
"2721749492";"Ландшафтный заказник «Теплый стан» на ул.Островитянова";"Детская игровая площадка №2";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10, строение 3";"mospriroda@eco.mos.ru";"mospriroda.ru";"(495) 438-63-72";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.502535171, 55.634782163], type=Point}";"";
"2721749625";"Озелененная территория между Шипиловским проездом и Каширским шоссе";"Площадка детская игровая в парке";"Южный административный округ";"район Москворечье-Сабурово";"улица Маршала Захарова, дом 17, корпус 1";"info@park-kuzminki.ru";"www.park-kuzminki.ru";"(499) 613-79-94";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.699840236, 55.632913854], type=Point}";"";
"2721750721";"Парк спорта «Яуза»";"Площадка детская игровая в парке №2";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 161";"4762259@mail.ru";"park-yauza.info";"(499) 476-22-59";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"";"общая физическая подготовка";"{coordinates=[37.652511933, 55.835659632], type=Point}";"";
"2721751143";"Парк «Битцевский лес»";"Площадка детская игровая в парке №11, рядом с улицей Красного Маяка";"Юго-Западный административный округ";"район Ясенево";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.577581328, 55.614701576], type=Point}";"";
"2721751145";"Парк «Битцевский лес»";"Площадка детская игровая в парке №15, рядом с Варшавским шоссе";"Южный административный округ";"район Чертаново Южное";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.591866986, 55.5847019], type=Point}";"";
"2721752398";"Аршиновский парк";"Площадка детская игровая в парке №1";"Южный административный округ";"район Царицыно";"Бакинская улица, дом 20";"sotsr@uao.mos.ru";"tsaricino.mos.ru";"(495) 321-48-33";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"заливное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.651169238, 55.619879864], type=Point}";"";
"2721753629";"Ландшафтный заказник «Теплый стан» на ул.Островитянова";"Детская игровая площадка №4";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10, строение 3";"mospriroda@eco.mos.ru";"mospriroda.ru";"(495) 438-63-72";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.503200359, 55.632841147], type=Point}";"";
"2721754228";"Природно-исторический парк «Кузьминки-Люблино», ул.Тополевая";"Детская игровая площадка №3";"Юго-Восточный административный округ";"район Кузьминки";"Тополёвая аллея, дом 16";"parkkuzminki@culture.mos.ru";"www.park-kuzminki.ru/";"(499) 175-33-69";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.782188402, 55.694622136], type=Point}";"";
"2721754398";"Парк «Детский»";"Площадка детская игровая в парке №3";"Южный административный округ";"Донской район";"Загородное шоссе, дом 2";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.609215364, 55.696293702], type=Point}";"";
"2721754804";"Парк «Детский»";"Площадка детская игровая в парке №1";"Южный административный округ";"Донской район";"Загородное шоссе, дом 2";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.610097677, 55.697287045], type=Point}";"";
"2721754825";"Парк «Детский»";"Площадка детская игровая в парке №2";"Южный административный округ";"Донской район";"Загородное шоссе, дом 2";"sodns@uao.mos.ru";"donskoy.mos.ru";"(495) 958-15-90";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"смешанное освещение";"специальное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.609451265, 55.695695218], type=Point}";"";
"2721754883";"Парк «Битцевский лес»";"Площадка детская игровая в парке №16, рядом с улицей Инессы Арманд";"Юго-Западный административный округ";"район Ясенево";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.558258695, 55.593017912], type=Point}";"";
"2721754923";"Ландшафтный заказник «Теплый стан» на ул.Островитянова";"Детская игровая площадка №1";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10, строение 3";"mospriroda@eco.mos.ru";"mospriroda.ru";"(495) 438-63-72";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.48680938, 55.638303606], type=Point}";"";
"2721754928";"Ландшафтный заказник «Теплый стан» на ул.Островитянова";"Детская игровая площадка №3";"Юго-Западный административный округ";"район Тёплый Стан";"улица Островитянова, дом 10, строение 3";"mospriroda@eco.mos.ru";"mospriroda.ru";"(495) 438-63-72";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.490808553, 55.641561339], type=Point}";"";
"2721756432";"Парк у прудов «Радуга»";"Детская игровая площадка №2";"Восточный административный округ";"район Вешняки";"аллея Жемчуговой, владение 2, строение 1";"parkperovskiy@culture.mos.ru";"www.perovskiy-park.ru";"(495) 309-53-42";"";"nested data";"";"нет";"";"да";"";"да";"да";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.825914283, 55.730592658], type=Point}";"";
"2721757077";"Парк «Битцевский лес»";"Площадка детская игровая в парке №1, рядом с Балаклавским проспектом";"Юго-Западный административный округ";"район Ясенево";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.566381455, 55.640583457], type=Point}";"";
"2721757090";"Парк «Битцевский лес»";"Площадка детская игровая в парке №14, рядом с улицей Академика Янгеля";"Южный административный округ";"район Чертаново Южное";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.585784194, 55.59013118], type=Point}";"";
"2721757114";"Парк «Битцевский лес»";"Площадка детская игровая в парке №19, рядом с Бульваром Дмитрия Донского";"Юго-Западный административный округ";"район Северное Бутово";"Новоясеневский тупик, дом 1, строение 2";"mospriroda@eco.mos.ru";"www.mospriroda.ru";"(499) 739-27-05";"";"nested data";"";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.01-31.12";"nested data";"без дополнительного освещения";"грунтовое покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.567897514, 55.562054957], type=Point}";"";
"2721757460";"Парк у прудов «Радуга»";"Детская игровая площадка №1";"Восточный административный округ";"район Вешняки";"аллея Жемчуговой, владение 2, строение 1";"parkperovskiy@culture.mos.ru";"www.perovskiy-park.ru";"(495) 309-53-42";"";"nested data";"";"нет";"";"да";"";"да";"да";"да";"нет";"нет";"нет";"нет";"01.09-31.08";"nested data";"без дополнительного освещения";"специальное покрытие";"0";"бесплатно";"";"не приспособлен";"общая физическая подготовка";"{coordinates=[37.814520259, 55.73204555], type=Point}";"";
"2721757883";"Парк культуры и отдыха «Сокольники»";"Площадка детская игровая в парке №10";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1, строение 1";"spravka.sokolniki@culture.mos.ru";"parksokolniki.mos.ru";"(499) 268-54-30";"";"nested data";"";"нет";"";"да";"Парк культуры и отдыха Сокольники бесплатно";"да";"да";"да";"да";"да";"нет";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"отсыпное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.6761789, 55.815320043], type=Point}";"";
"2721757888";"Парк культуры и отдыха «Сокольники»";"Площадка детская игровая в парке №12";"Восточный административный округ";"район Сокольники";"улица Сокольнический Вал, дом 1, строение 1";"spravka.sokolniki@culture.mos.ru";"parksokolniki.mos.ru";"(499) 268-54-30";"";"nested data";"";"нет";"";"да";"Парк культуры и отдыха Сокольники бесплатно";"да";"да";"да";"да";"да";"нет";"да";"01.09-31.08";"nested data";"без дополнительного освещения";"отсыпное покрытие";"0";"бесплатно";"";"частично приспособлен";"общая физическая подготовка";"{coordinates=[37.662759278, 55.810154362], type=Point}";"";
